> #PAC_Juan de Fuca	
249.168	-41.355
249.246	-40.760
249.323	-40.164
249.467	-39.575
249.609	-38.986
248.730	-38.979
248.732	-38.878
248.933	-38.276
249.131	-37.674
249.332	-37.042
249.529	-36.410
249.529	-36.410
249.261	-36.358
249.285	-36.219
249.105	-35.797
249.123	-35.319
249.173	-35.091
249.473	-35.061
249.674	-34.946
249.859	-34.817
250.081	-34.702
250.309	-34.609
> #AUS_ANT	
69.960	-25.651
70.409	-26.060
70.665	-25.912
70.994	-26.187
71.135	-26.083
71.580	-26.454
71.717	-26.386
72.066	-26.656
72.008	-26.718
72.463	-27.146
72.920	-27.573
73.123	-27.446
73.399	-27.655
73.534	-27.570
73.968	-27.944
74.406	-28.317
74.192	-28.541
74.592	-28.903
74.994	-29.264
74.938	-29.328
75.554	-29.839
75.364	-30.006
75.515	-30.118
75.393	-30.240
75.797	-30.573
76.204	-30.906
76.148	-30.970
76.689	-31.465
76.395	-31.719
76.812	-32.090
77.233	-32.459
77.658	-32.828
78.086	-33.194
77.352	-33.838
77.917	-34.324
78.488	-34.807
78.442	-34.842
78.803	-35.161
78.201	-35.683
78.690	-36.098
79.184	-36.511
78.606	-36.998
78.021	-37.483
78.706	-38.001
78.182	-38.393
78.529	-38.659
78.073	-39.005
78.384	-39.262
78.002	-39.539
78.425	-39.905
77.825	-40.326
78.484	-40.866
78.659	-40.872
79.319	-41.384
79.990	-41.892
80.464	-41.512
80.932	-41.130
81.752	-41.722
82.588	-42.309
83.439	-42.890
83.853	-42.551
84.263	-42.210
84.669	-41.868
85.070	-41.525
85.466	-41.180
85.859	-40.834
86.402	-41.129
86.950	-41.421
87.502	-41.710
88.060	-41.997
88.488	-41.686
89.011	-41.944
89.537	-42.200
90.068	-42.454
90.603	-42.705
91.142	-42.953
91.686	-43.199
92.234	-43.443
92.786	-43.684
93.343	-43.922
93.904	-44.157
94.470	-44.390
95.040	-44.619
94.926	-44.805
95.806	-45.141
96.698	-45.471
96.274	-45.996
95.842	-46.520
96.458	-46.772
97.080	-47.020
97.707	-47.265
98.340	-47.506
98.979	-47.744
99.624	-47.978
100.202	-47.266
100.817	-47.465
101.436	-47.661
102.060	-47.853
102.688	-48.042
103.321	-48.228
103.959	-48.409
104.601	-48.588
105.247	-48.762
105.898	-48.933
106.554	-49.101
106.692	-48.841
107.486	-49.015
108.285	-49.182
108.240	-49.259
109.351	-49.523
110.472	-49.779
110.868	-49.829
111.129	-49.800
111.363	-49.930
111.666	-50.084
112.967	-50.200
114.024	-50.388
114.362	-49.878
115.500	-49.974
115.988	-49.852
116.256	-49.540
116.635	-49.271
117.523	-49.620
118.194	-49.865
118.547	-49.802
119.366	-49.938
120.273	-50.036
120.516	-49.524
120.842	-48.890
121.555	-49.006
121.437	-49.620
121.866	-49.736
122.224	-49.846
122.553	-49.812
122.797	-49.729
123.013	-49.542
123.328	-49.585
123.771	-49.122
124.007	-48.906
124.213	-48.848
124.607	-48.984
124.992	-49.153
125.125	-49.358
125.262	-49.598
125.896	-49.717
126.074	-49.401
126.264	-49.044
126.434	-48.630
126.861	-48.698
127.313	-48.764
127.243	-49.294
127.196	-49.643
127.143	-49.976
128.312	-50.159
129.412	-50.348
130.569	-50.525
131.256	-50.604
131.515	-50.222
132.261	-50.223
133.465	-50.306
134.245	-50.347
135.026	-50.384
135.246	-50.209
136.226	-50.248
136.946	-50.220
137.700	-50.234
138.401	-50.231
139.110	-50.256
139.645	-50.279
139.733	-51.174
139.813	-51.838
140.323	-51.798
140.400	-52.274
140.478	-52.750
140.584	-53.504
140.659	-53.885
141.451	-54.053
142.250	-54.215
143.778	-54.234
144.282	-54.799
145.401	-54.756
146.881	-54.695
147.043	-55.175
147.206	-55.654
147.373	-56.132
147.545	-56.610
147.721	-57.088
147.902	-57.566
148.076	-57.527
148.806	-57.436
149.150	-58.104
149.398	-58.552
149.652	-58.999
150.006	-59.570
150.733	-59.475
151.008	-59.944
151.290	-60.413
152.473	-60.176
153.639	-59.930
154.294	-60.681
154.981	-61.429
155.701	-62.174
156.457	-62.914
157.970	-62.478
159.440	-62.026
160.865	-61.559
> #ANT_NAZ	
283.994	-45.659
283.325	-45.643
282.339	-45.761
282.236	-45.589
282.010	-45.092
281.794	-44.411
281.107	-44.545
280.414	-44.666
279.719	-44.782
278.894	-44.876
278.065	-44.964
277.862	-44.404
277.649	-43.639
277.491	-42.861
276.552	-42.981
276.546	-42.873
276.396	-42.222
276.284	-41.674
276.173	-41.125
275.513	-41.191
274.852	-41.253
273.760	-41.393
272.664	-41.521
272.583	-41.273
271.553	-41.319
270.750	-41.378
269.946	-41.432
269.912	-41.058
269.261	-41.082
268.609	-41.103
