> #NAZ_SA	
159.580	-10.084
159.644	-10.123
159.708	-10.174
159.772	-10.200
159.837	-10.251
159.914	-10.276
159.978	-10.315
160.068	-10.379
160.132	-10.417
160.210	-10.468
160.287	-10.519
160.364	-10.570
160.493	-10.634
160.544	-10.672
160.622	-10.723
160.725	-10.787
160.776	-10.838
160.867	-10.914
160.931	-10.965
160.996	-11.029
161.060	-11.054
161.125	-11.130
161.202	-11.168
161.306	-11.194
161.384	-11.232
161.461	-11.245
161.552	-11.283
161.720	-11.321
161.798	-11.359
161.901	-11.397
162.018	-11.422
162.109	-11.434
162.225	-11.422
162.354	-11.421
162.484	-11.421
162.626	-11.382
162.833	-11.356
163.053	-11.311
163.195	-11.291
163.311	-11.265
163.505	-11.238
163.699	-11.199
163.854	-11.185
163.996	-11.158
164.151	-11.144
164.267	-11.118
164.409	-11.091
164.512	-11.090
164.641	-11.114
164.758	-11.164
164.901	-11.200
165.070	-11.287
165.252	-11.411
165.396	-11.549
165.514	-11.686
165.621	-11.887
165.715	-12.127
165.770	-12.316
165.838	-12.517
165.894	-12.744
165.909	-12.870
165.952	-13.072
166.020	-13.261
166.090	-13.513
166.132	-13.676
166.154	-13.779
166.161	-13.828
166.204	-13.991
166.234	-14.181
166.250	-14.345
166.252	-14.420
166.268	-14.559
166.271	-14.686
166.262	-14.889
166.213	-15.041
166.228	-15.130
166.217	-15.244
166.193	-15.345
166.209	-15.434
166.225	-15.560
166.227	-15.674
166.270	-15.799
166.285	-15.887
166.340	-15.975
166.395	-16.087
166.450	-16.187
166.506	-16.300
166.562	-16.438
166.604	-16.538
166.659	-16.625
166.728	-16.737
166.810	-16.836
166.868	-16.987
166.950	-17.098
167.059	-17.209
167.155	-17.307
167.171	-17.396
167.215	-17.521
167.245	-17.633
167.275	-17.759
167.320	-17.922
167.350	-18.022
167.394	-18.147
167.424	-18.247
167.455	-18.360
167.486	-18.486
167.504	-18.611
167.521	-18.712
167.607	-18.886
167.680	-19.048
167.727	-19.236
167.812	-19.372
167.886	-19.533
167.943	-19.632
168.003	-19.769
168.075	-19.893
168.160	-20.003
168.191	-20.090
168.263	-20.201
168.335	-20.325
168.396	-20.474
168.512	-20.646
168.585	-20.781
168.645	-20.893
168.705	-21.016
168.776	-21.101
168.879	-21.261
168.996	-21.420
169.054	-21.506
169.143	-21.640
169.215	-21.725
169.288	-21.823
169.320	-21.909
169.419	-21.980
169.491	-22.052
169.577	-22.124
169.719	-22.230
169.835	-22.350
169.950	-22.445
170.036	-22.516
170.109	-22.587
170.221	-22.644
170.321	-22.702
170.420	-22.759
170.547	-22.827
170.660	-22.884
170.745	-22.917
170.842	-22.949
170.939	-22.968
171.037	-23.000
171.162	-23.030
171.288	-23.072
171.385	-23.091
171.496	-23.110
171.620	-23.127
171.703	-23.146
171.854	-23.149
171.950	-23.155
172.060	-23.173
172.197	-23.176
172.278	-23.171
172.361	-23.177
172.439	-23.178
>	
-63.878	10.532
-63.233	10.509
-62.641	10.482
-62.158	10.458
-61.542	10.427
-60.927	10.395
-60.457	10.345
-59.988	10.295
-59.121	10.220
-58.639	10.190
-58.157	10.160
>	
65.028	24.382
64.161	24.350
63.366	24.285
62.581	24.283
61.955	24.087
61.365	24.122
