> #NAmerica_Pacific (Canada/Alaska)	
179.614	-15.677
179.890	-15.654
180.261	-15.542
180.556	-15.527
181.188	-15.377
181.736	-15.325
182.309	-15.398
182.870	-15.559
183.340	-15.600
183.470	-15.490
183.540	-15.420
183.610	-15.310
183.660	-15.180
183.670	-15.050
183.680	-14.900
183.660	-14.780
183.650	-14.630
183.654	-14.634
184.135	-14.478
184.691	-14.407
185.246	-14.334
185.917	-14.379
186.164	-14.534
>	
176.121	-21.166
175.733	-21.422
175.231	-21.750
174.584	-22.170
174.034	-22.488
172.439	-23.178
>	
179.790	-15.218
179.389	-14.975
179.012	-14.784
178.469	-14.501
178.029	-14.309
177.417	-14.055
177.167	-13.948
176.966	-13.853
176.618	-13.731
176.256	-13.672
176.021	-13.643
175.947	-13.422
175.659	-13.326
175.314	-13.244
174.898	-13.335
174.784	-13.395
174.661	-13.415
174.482	-13.396
173.941	-13.295
173.671	-13.517
173.049	-13.490
172.571	-13.411
172.434	-13.435
172.300	-13.481
172.163	-13.569
171.972	-13.678
171.619	-13.750
171.296	-13.793
171.295	-14.066
171.181	-14.083
170.945	-14.093
170.642	-14.088
170.638	-13.942
170.150	-13.974
169.739	-13.953
169.739	-13.824
169.622	-13.808
169.456	-13.811
169.231	-13.800
169.234	-13.651
169.026	-13.639
168.792	-13.630
168.577	-13.602
168.596	-13.514
168.159	-13.515
167.157	-13.649
166.154	-13.779
>	
120.886	-11.493
121.110	-11.493
121.783	-11.412
122.627	-11.188
123.217	-10.995
123.960	-10.708
124.734	-10.390
125.159	-10.159
125.482	-9.984
125.869	-9.784
126.333	-9.596
126.853	-9.390
127.430	-9.221
127.900	-9.133
128.376	-9.095
129.106	-9.020
129.861	-8.926
130.540	-8.726
130.933	-8.562
131.415	-8.267
131.867	-7.661
132.431	-6.989
132.689	-6.681
133.188	-6.515
133.686	-6.348
133.982	-5.641
133.449	-5.344
133.906	-4.812
134.966	-4.298
135.459	-4.218
136.167	-4.177
136.672	-4.199
137.177	-4.221
138.010	-4.337
138.484	-4.442
138.959	-4.548
139.731	-4.751
140.264	-4.931
140.798	-5.110
140.847	-5.145
141.483	-5.727
142.231	-5.986
142.956	-6.295
143.569	-6.558
144.136	-6.813
144.740	-7.023
145.249	-7.374
145.666	-7.661
146.398	-8.103
146.918	-8.410
146.954	-8.598
147.539	-8.886
148.207	-9.212
148.751	-9.570
149.133	-9.353
149.676	-9.801
150.245	-9.945
150.466	-9.687
151.005	-9.681
151.545	-9.676
151.654	-9.760
>	
96.480	14.400
97.390	14.419
98.300	14.434
99.210	14.446
99.766	14.838
100.297	15.462
100.832	16.084
101.141	16.575
101.451	17.066
102.032	17.350
102.615	17.633
103.180	17.660
103.746	17.685
104.312	17.708
104.878	17.730
105.817	17.750
106.756	17.766
107.695	17.777
108.634	17.784
109.573	17.785
110.512	17.783
111.040	17.870
111.569	17.955
112.098	18.038
112.628	18.121
113.313	18.280
114.000	18.438
114.419	18.826
114.926	19.340
115.494	19.687
116.319	19.815
117.145	19.940
117.504	20.330
117.864	20.720
118.045	21.498
118.484	22.107
118.958	22.003
119.618	22.269
120.036	21.951
120.452	21.632
120.425	22.043
120.394	22.581
120.360	23.198
120.546	23.979
120.981	24.654
121.335	24.963
121.575	24.691
>	
